zipcode;renda;saude;educacao;empresas;emprego;domicilios
98001;88.962;5,5;27,1;1.271;63,2;11.648
98002;59.097;9,4;17,9;1.022;62,3;13.162
98003;59.560;11;27,1;1.705;62,8;18.515
98004;142.173;2,7;75,5;3.094;65,7;17.460
98005;135.225;4,2;68;1.682;68,4;8.590
98006;156.382;3,1;69,2;1.103;60,6;13.030
98007;101.847;7,4;66,5;970;66,5;11.578
98008;131.952;3,6;65;568;59,3;9.125
98010;125.652;5,4;45,4;137;73,6;2.286
98011;103.421;4,8;54,3;827;67,6;13.318
98014;118.408;3,3;48;173;66,1;2.773
98019;142.064;4,4;50,6;256;71,5;4.042
98022;90.223;5,8;28,5;657;62,2;8.484
98023;82.566;6,5;31,1;658;63,5;17.466
98024;158.168;3,6;53,8;142;70,1;2.293
98027;121.620;4,8;61,6;1.250;66,1;12.074
98028;115.093;3,7;57,1;491;67,5;9.296
98029;134.424;1,9;71,8;519;71,8;11.853
98030;71.014;7;23,9;597;63,8;12.608
98031;82.241;6,8;30,1;743;64,9;12.646
98032;62.620;10,9;22,7;2.061;64;13.942
98033;137.378;2,7;70,9;1.850;68;16.701
98034;100.955;4,2;56,1;1.411;67,4;18.126
98038;114.804;3,6;42,7;688;66,8;12.308
98039;185.163;0,7;80,8;75;52,5;1.213
98040;150.506;2,06;76,2;841;61,2;10.128
98042;105.166;5,2;31;830;65,6;16.810
98045;111.767;6;46,5;467;68,2;5.718
98052;136.208;4;72,1;2.592;68;28.404
98053;151.525;1,2;71,2;414;60,2;8.572
98055;80.586;7;33,5;569;68,8;9.337
98056;95.074;7,5;44;599;68,1;14.560
98058;92.216;5,1;38,7;520;65,4;15.798
98059;109.565;5,4;44,7;656;65,2;14.016
98065;150.015;1,9;65,3;362;75,5;5.415
98070;78.368;5,1;53,9;402;54,7;4.665
98072;127.724;4;58,5;1.363;65,9;9.646
98074;196.146;2,9;78,9;465;67;9.567
98075;188.500;4,4;72;369;65,7;7.814
98077;160.441;0,7;58,3;244;58,5;4.856
98092;96.121;8,7;34,4;580;66,9;16.799
98102;97.374;3,6;78,4;841;82,1;16.219
98103;105.480;3,7;75,2;1.972;77,4;26.314
98105;67.449;5,2;75,2;1.340;56,9;17.332
98106;74.608;6;40,1;502;70,5;11.354
98107;102.436;3,7;74,3;1.351;78,1;14.846
98108;62.530;7,2;32,4;1.300;67,5;8.595
98109;107.330;2,3;74;1.781;79,6;18.617
98112;122.388;1,5;82,1;709;67,6;11.846
98115;117.038;2,2;75,6;1.278;72,9;23.430
98116;121.967;2,7;67,5;810;70,7;13.210
98117;131.508;1,6;70,2;761;72,9;15.310
98118;85.541;6,2;44,6;895;65,6;18.077
98119;93.104;4,9;73,9;901;72,6;13.762
98122;81.308;5,6;67,2;1.390;75,1;21.237
98125;78.263;7,2;57,4;1.011;68;19.643
98126;84.934;4,6;56,1;413;69,7;10.437
98133;73.702;6,1;45,6;1.217;65,5;22.212
98136;123.042;2,7;65,1;376;73,6;7.855
98144;87.098;6,7;59,9;800;71,2;14.263
98146;80.633;10,7;31,3;357;64,9;10.336
98148;70.050;7,8;24;376;68,7;4.504
98155;107.109;4,1;53,5;703;67,6;13.422
98166;87.882;8,3;41,5;710;62,8;8.887
98168;66.237;10,2;23,2;826;67,3;11.464
98177;125.036;3,5;67,7;377;59,3;8.178
98178;84.820;6,5;32,4;286;66,2;9.760
98188;64.206;10,6;23,1;1.485;71,2;10.018
98198;66.938;11;26,8;606;60,2;14.423
98199;134.709;1,8;73,5;639;70,9;10.296
